"Notes"	"Census Region"	"Census Region Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Census Region 4: West"	"CENS-R4"	"15-24 years"	"15-24"	"2008"	"2008"	511	10347152	4.9
	"Census Region 4: West"	"CENS-R4"	"15-24 years"	"15-24"	"2009"	"2009"	550	10409933	5.3
	"Census Region 4: West"	"CENS-R4"	"15-24 years"	"15-24"	"2010"	"2010"	573	10437915	5.5
	"Census Region 4: West"	"CENS-R4"	"15-24 years"	"15-24"	"2011"	"2011"	631	10518733	6.0
	"Census Region 4: West"	"CENS-R4"	"15-24 years"	"15-24"	"2012"	"2012"	517	10563100	4.9
	"Census Region 4: West"	"CENS-R4"	"15-24 years"	"15-24"	"2013"	"2013"	530	10555767	5.0
	"Census Region 4: West"	"CENS-R4"	"15-24 years"	"15-24"	"2014"	"2014"	512	10545949	4.9
	"Census Region 4: West"	"CENS-R4"	"15-24 years"	"15-24"	"2015"	"2015"	530	10498989	5.0
	"Census Region 4: West"	"CENS-R4"	"15-24 years"	"15-24"	"2016"	"2016"	646	10400615	6.2
	"Census Region 4: West"	"CENS-R4"	"15-24 years"	"15-24"	"2017"	"2017"	627	10310810	6.1
	"Census Region 4: West"	"CENS-R4"	"15-24 years"	"15-24"	"2018"	"2018"	689	10277203	6.7
	"Census Region 4: West"	"CENS-R4"	"25-34 years"	"25-34"	"2007"	"2007"	852	9781197	8.7
	"Census Region 4: West"	"CENS-R4"	"25-34 years"	"25-34"	"2008"	"2008"	894	9935032	9.0
	"Census Region 4: West"	"CENS-R4"	"25-34 years"	"25-34"	"2009"	"2009"	1015	10074895	10.1
	"Census Region 4: West"	"CENS-R4"	"25-34 years"	"25-34"	"2010"	"2010"	1000	10156927	9.8
	"Census Region 4: West"	"CENS-R4"	"25-34 years"	"25-34"	"2011"	"2011"	1077	10345500	10.4
	"Census Region 4: West"	"CENS-R4"	"25-34 years"	"25-34"	"2012"	"2012"	1070	10473844	10.2
	"Census Region 4: West"	"CENS-R4"	"25-34 years"	"25-34"	"2013"	"2013"	1088	10642708	10.2
	"Census Region 4: West"	"CENS-R4"	"25-34 years"	"25-34"	"2014"	"2014"	1236	10869402	11.4
	"Census Region 4: West"	"CENS-R4"	"25-34 years"	"25-34"	"2015"	"2015"	1297	11090262	11.7
	"Census Region 4: West"	"CENS-R4"	"25-34 years"	"25-34"	"2016"	"2016"	1394	11270947	12.4
	"Census Region 4: West"	"CENS-R4"	"25-34 years"	"25-34"	"2017"	"2017"	1596	11501491	13.9
	"Census Region 4: West"	"CENS-R4"	"25-34 years"	"25-34"	"2018"	"2018"	1713	11636517	14.7
	"Census Region 4: West"	"CENS-R4"	"35-44 years"	"35-44"	"2007"	"2007"	1130	9923682	11.4
	"Census Region 4: West"	"CENS-R4"	"35-44 years"	"35-44"	"2008"	"2008"	1140	9844489	11.6
	"Census Region 4: West"	"CENS-R4"	"35-44 years"	"35-44"	"2009"	"2009"	1206	9756396	12.4
	"Census Region 4: West"	"CENS-R4"	"35-44 years"	"35-44"	"2010"	"2010"	1060	9717586	10.9
	"Census Region 4: West"	"CENS-R4"	"35-44 years"	"35-44"	"2011"	"2011"	1158	9699542	11.9
	"Census Region 4: West"	"CENS-R4"	"35-44 years"	"35-44"	"2012"	"2012"	1053	9735069	10.8
	"Census Region 4: West"	"CENS-R4"	"35-44 years"	"35-44"	"2013"	"2013"	1076	9761336	11.0
	"Census Region 4: West"	"CENS-R4"	"35-44 years"	"35-44"	"2014"	"2014"	1124	9832969	11.4
	"Census Region 4: West"	"CENS-R4"	"35-44 years"	"35-44"	"2015"	"2015"	1164	9900910	11.8
	"Census Region 4: West"	"CENS-R4"	"35-44 years"	"35-44"	"2016"	"2016"	1225	9928150	12.3
	"Census Region 4: West"	"CENS-R4"	"35-44 years"	"35-44"	"2017"	"2017"	1281	10106955	12.7
	"Census Region 4: West"	"CENS-R4"	"35-44 years"	"35-44"	"2018"	"2018"	1374	10261666	13.4
	"Census Region 4: West"	"CENS-R4"	"45-54 years"	"45-54"	"2007"	"2007"	1638	9851827	16.6
	"Census Region 4: West"	"CENS-R4"	"45-54 years"	"45-54"	"2008"	"2008"	1740	9969902	17.5
	"Census Region 4: West"	"CENS-R4"	"45-54 years"	"45-54"	"2009"	"2009"	1788	10055223	17.8
	"Census Region 4: West"	"CENS-R4"	"45-54 years"	"45-54"	"2010"	"2010"	1571	10087132	15.6
	"Census Region 4: West"	"CENS-R4"	"45-54 years"	"45-54"	"2011"	"2011"	1542	10033077	15.4
	"Census Region 4: West"	"CENS-R4"	"45-54 years"	"45-54"	"2012"	"2012"	1509	9957767	15.2
	"Census Region 4: West"	"CENS-R4"	"45-54 years"	"45-54"	"2013"	"2013"	1441	9876963	14.6
	"Census Region 4: West"	"CENS-R4"	"45-54 years"	"45-54"	"2014"	"2014"	1431	9889365	14.5
	"Census Region 4: West"	"CENS-R4"	"45-54 years"	"45-54"	"2015"	"2015"	1359	9891332	13.7
	"Census Region 4: West"	"CENS-R4"	"45-54 years"	"45-54"	"2016"	"2016"	1256	9847829	12.8
	"Census Region 4: West"	"CENS-R4"	"45-54 years"	"45-54"	"2017"	"2017"	1285	9800295	13.1
	"Census Region 4: West"	"CENS-R4"	"45-54 years"	"45-54"	"2018"	"2018"	1309	9681341	13.5
	"Census Region 4: West"	"CENS-R4"	"55-64 years"	"55-64"	"2007"	"2007"	684	7324764	9.3
	"Census Region 4: West"	"CENS-R4"	"55-64 years"	"55-64"	"2008"	"2008"	787	7603136	10.4
	"Census Region 4: West"	"CENS-R4"	"55-64 years"	"55-64"	"2009"	"2009"	928	7915291	11.7
	"Census Region 4: West"	"CENS-R4"	"55-64 years"	"55-64"	"2010"	"2010"	951	8171927	11.6
	"Census Region 4: West"	"CENS-R4"	"55-64 years"	"55-64"	"2011"	"2011"	1024	8534236	12.0
	"Census Region 4: West"	"CENS-R4"	"55-64 years"	"55-64"	"2012"	"2012"	1004	8679976	11.6
	"Census Region 4: West"	"CENS-R4"	"55-64 years"	"55-64"	"2013"	"2013"	1145	8843055	12.9
	"Census Region 4: West"	"CENS-R4"	"55-64 years"	"55-64"	"2014"	"2014"	1233	9031412	13.7
	"Census Region 4: West"	"CENS-R4"	"55-64 years"	"55-64"	"2015"	"2015"	1241	9222614	13.5
	"Census Region 4: West"	"CENS-R4"	"55-64 years"	"55-64"	"2016"	"2016"	1295	9361540	13.8
	"Census Region 4: West"	"CENS-R4"	"55-64 years"	"55-64"	"2017"	"2017"	1297	9485010	13.7
	"Census Region 4: West"	"CENS-R4"	"55-64 years"	"55-64"	"2018"	"2018"	1343	9535742	14.1
	"Census Region 4: West"	"CENS-R4"	"65-74 years"	"65-74"	"2007"	"2007"	104	4157608	2.5
	"Census Region 4: West"	"CENS-R4"	"65-74 years"	"65-74"	"2008"	"2008"	155	4354793	3.6
	"Census Region 4: West"	"CENS-R4"	"65-74 years"	"65-74"	"2009"	"2009"	170	4549281	3.7
	"Census Region 4: West"	"CENS-R4"	"65-74 years"	"65-74"	"2010"	"2010"	169	4685965	3.6
	"Census Region 4: West"	"CENS-R4"	"65-74 years"	"65-74"	"2011"	"2011"	185	4910963	3.8
	"Census Region 4: West"	"CENS-R4"	"65-74 years"	"65-74"	"2012"	"2012"	242	5266470	4.6
	"Census Region 4: West"	"CENS-R4"	"65-74 years"	"65-74"	"2013"	"2013"	265	5590202	4.7
	"Census Region 4: West"	"CENS-R4"	"65-74 years"	"65-74"	"2014"	"2014"	335	5901438	5.7
	"Census Region 4: West"	"CENS-R4"	"65-74 years"	"65-74"	"2015"	"2015"	342	6207394	5.5
	"Census Region 4: West"	"CENS-R4"	"65-74 years"	"65-74"	"2016"	"2016"	355	6480358	5.5
	"Census Region 4: West"	"CENS-R4"	"65-74 years"	"65-74"	"2017"	"2017"	445	6720736	6.6
	"Census Region 4: West"	"CENS-R4"	"65-74 years"	"65-74"	"2018"	"2018"	466	6943861	6.7
	"Census Region 4: West"	"CENS-R4"	"75-84 years"	"75-84"	"2007"	"2007"	57	2675082	2.1
	"Census Region 4: West"	"CENS-R4"	"75-84 years"	"75-84"	"2008"	"2008"	46	2681999	1.7
	"Census Region 4: West"	"CENS-R4"	"75-84 years"	"75-84"	"2009"	"2009"	47	2690117	1.7
	"Census Region 4: West"	"CENS-R4"	"75-84 years"	"75-84"	"2010"	"2010"	47	2709758	1.7
	"Census Region 4: West"	"CENS-R4"	"75-84 years"	"75-84"	"2011"	"2011"	56	2756831	2.0
	"Census Region 4: West"	"CENS-R4"	"75-84 years"	"75-84"	"2012"	"2012"	58	2803331	2.1
	"Census Region 4: West"	"CENS-R4"	"75-84 years"	"75-84"	"2013"	"2013"	45	2867767	1.6
	"Census Region 4: West"	"CENS-R4"	"75-84 years"	"75-84"	"2014"	"2014"	62	2948809	2.1
	"Census Region 4: West"	"CENS-R4"	"75-84 years"	"75-84"	"2015"	"2015"	78	3029327	2.6
	"Census Region 4: West"	"CENS-R4"	"75-84 years"	"75-84"	"2016"	"2016"	59	3117098	1.9
	"Census Region 4: West"	"CENS-R4"	"75-84 years"	"75-84"	"2017"	"2017"	89	3214843	2.8
	"Census Region 4: West"	"CENS-R4"	"75-84 years"	"75-84"	"2018"	"2018"	87	3383318	2.6
	"Census Region 4: West"	"CENS-R4"	"85+ years"	"85+"	"2007"	"2007"	23	1031446	2.2
	"Census Region 4: West"	"CENS-R4"	"85+ years"	"85+"	"2008"	"2008"	19	1073357	Unreliable
	"Census Region 4: West"	"CENS-R4"	"85+ years"	"85+"	"2009"	"2009"	14	1119626	Unreliable
	"Census Region 4: West"	"CENS-R4"	"85+ years"	"85+"	"2010"	"2010"	35	1151109	3.0
	"Census Region 4: West"	"CENS-R4"	"85+ years"	"85+"	"2011"	"2011"	19	1214402	Unreliable
	"Census Region 4: West"	"CENS-R4"	"85+ years"	"85+"	"2012"	"2012"	22	1251933	1.8
	"Census Region 4: West"	"CENS-R4"	"85+ years"	"85+"	"2013"	"2013"	26	1281935	2.0
	"Census Region 4: West"	"CENS-R4"	"85+ years"	"85+"	"2014"	"2014"	30	1319375	2.3
	"Census Region 4: West"	"CENS-R4"	"85+ years"	"85+"	"2015"	"2015"	34	1356979	2.5
	"Census Region 4: West"	"CENS-R4"	"85+ years"	"85+"	"2016"	"2016"	24	1387309	1.7
	"Census Region 4: West"	"CENS-R4"	"85+ years"	"85+"	"2017"	"2017"	30	1397829	2.1
	"Census Region 4: West"	"CENS-R4"	"85+ years"	"85+"	"2018"	"2018"	31	1424633	2.2
	"Census Region 4: West"	"CENS-R4"	"Not Stated"	"NS"	"2007"	"2007"	Suppressed	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Not Stated"	"NS"	"2008"	"2008"	Suppressed	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Not Stated"	"NS"	"2009"	"2009"	Suppressed	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Not Stated"	"NS"	"2010"	"2010"	Suppressed	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Not Stated"	"NS"	"2011"	"2011"	Suppressed	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Not Stated"	"NS"	"2012"	"2012"	Suppressed	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Not Stated"	"NS"	"2013"	"2013"	Suppressed	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Not Stated"	"NS"	"2014"	"2014"	Suppressed	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Not Stated"	"NS"	"2015"	"2015"	Suppressed	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Not Stated"	"NS"	"2016"	"2016"	Suppressed	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Not Stated"	"NS"	"2017"	"2017"	Suppressed	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Not Stated"	"NS"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
"---"
"Dataset: Multiple Cause of Death, 1999-2018"
"Query Parameters:"
"MCD - ICD-10 Codes: T40.0 (Opium); T40.1 (Heroin); T40.2 (Other opioids); T40.3 (Methadone); T40.4 (Other synthetic narcotics);"
"T40.6 (Other and unspecified narcotics)"
"Year/Month: 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018"
"Group By: Census Region; Ten-Year Age Groups; Year"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Feb 25, 2020 2:14:22 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Multiple Cause of Death"
"1999-2018 on CDC WONDER Online Database, released in 2020. Data are from the Multiple Cause of Death Files, 1999-2018, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/mcd-icd10.html on Feb 25, 2020 2:14:22 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2014-Revision."
"2. Circumstances in Georgia for the years 2008 and 2009 have resulted in unusually high death counts for the ICD-10 cause of"
"death code R99, ""Other ill-defined and unspecified causes of mortality."" Caution should be used in interpreting these data."
"More information: http://wonder.cdc.gov/wonder/help/mcd.html#Georgia-Reporting-Anomalies."
"3. Circumstances in New Jersey for the year 2009 have resulted in unusually high death counts for the ICD-10 cause of death code"
"R99, ""Other ill-defined and unspecified causes of mortality"" and therefore unusually low death counts in other ICD-10 codes,"
"most notably R95, ""Sudden Infant Death Syndrome"" and X40-X49, ""Unintentional poisoning."" Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/mcd.html#New-Jersey-Reporting-Anomalies."
"4. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Assurance of Confidentiality."
"5. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Unreliable."
"6. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Not Stated."
"7. The population figures for year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018"
"postcensal series released by NCHS on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for"
"year 2016 are bridged-race estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS"
"on June 26, 2017. The population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2015 postcensal series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The"
"population figures for year 2013 are bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal"
"series released by NCHS on June 26, 2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2012 postcensal series released by NCHS on June 13, 2013. Population figures for 2011 are"
"bridged-race estimates of the July 1 resident population, from the county-level postcensal Vintage 2011 series released by NCHS"
"on July 18, 2012. Population figures for 2010 are April 1 Census counts. The population figures for years 2001 - 2009, are"
"bridged-race estimates of the July 1 resident population, from the revised intercensal county-level 2000 - 2009 series released"
"by NCHS on October 26, 2012. Population figures for 2000 are April 1 Census counts. Population figures for 1999 are from the"
"1990-1999 intercensal series of July 1 estimates. Population figures for Infant Age Groups are the number of live births."
"<br/><b>Note:</b> Rates and population figures for years 2001 - 2009 differ slightly from previously published reports, due to"
"use of the population estimates which were available at the time of release."
"8. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group."
"9. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#ICD-10 Changes."
