"Statistics for community hospital stays 2016 Maryland, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: Maryland | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, Maryland",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Dorchester, Maryland",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,196806.824406816,3257.7827254582,5.5539570686,1093056.65356615,18093.5853960743,13301.2513589691,2617777040.59556,433.3258690423,
"Dorchester, Maryland",,1418,4476.8579907811,5.4534555712,7733,24414.3461514175,12023.145644199,17048820.5234742,538.2591565156,
Age group,<1,24,6434.3163538874,6.25,150,40214.4772117962,4525.4016997104,108609.64079305,291.1786616436,
,1-17,*,*,*,*,*,*,*,*,
,18-44,357,3784.1848632605,5.4649859944,1951,20680.5172779308,11938.9226855381,4262195.39873711,451.7909051025,
,45-64,565,6232.0758879329,5.1008849558,2882,31789.1021398632,12205.7422668234,6896244.38075525,760.6711207539,
,65-84,465,7148.3474250577,5.847311828,2719,41798.6164488854,12230.1761936205,5687031.93003353,874.2554850167,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,614,4037.8797842957,5.4120521173,3323,21853.2158358542,12385.7906018695,7604875.4295479,500.1233348381,
,Female,798,4845.7614768035,5.462406015,4359,26469.5166383288,11632.0390795245,9282367.18546057,563.6608686823,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,720,†,5.8125,4185,†,11984.9471585286,8629161.95414064,†,
,Medicaid,468,†,5.2158119658,2441,†,11006.4507478576,5151018.94999736,†,
,Private insurance,187,†,4.7058823529,880,†,12668.4217610397,2368994.86931443,†,
,Uninsured,15,†,3.0666666667,46,†,6406.6175686705,96099.2635300576,†,
,Other,27,†,6.6296296296,179,†,28948.3685494542,781605.950835265,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,45,122.6158038147,2.6,117,318.8010899183,6036.9727861378,271663.775376202,†,
,Neonatal birth hospitalization,22,60.1092896175,6.3181818182,139,379.781420765,4269.6712755012,93932.7680610265,†,
,Nonmaternal/nonneonatal hospitalization,1351,351.274050962,5.5344189489,7477,1944.0977639105,12348.7964322997,16683223.9800369,†,
Type of substance use disorder,Alcohol-related disorders,247,779.8194102418,5.1781376518,1279,4038.0122497948,10956.2791648942,2706200.95372888,85.4391915681,
,Cannabis-related disorders,134,423.0599229652,5.0671641791,679,2143.714087264,11076.0182119914,1484186.44040685,46.8581941153,
,Neonatal abstinence syndrome,*,*,*,*,*,*,*,*,
,Opioid-related disorders,141,445.1600681947,5.3546099291,755,2383.6585211846,11604.1573416041,1636186.18516618,51.6570747353,
,Sedative-related disorders,14,44.2002904591,6.0714285714,85,268.3589063585,9256.9132759002,129596.785862602,4.0915825555,
,Stimulant-related disorders,91,287.3018879838,5.6593406593,515,1625.9392561722,12953.9067362027,1178805.51299444,37.2168186208,
,Miscellaneous substances and addictive disorders,81,255.7302519417,4.3333333333,351,1108.1644250805,6067.1241776948,491437.058393281,15.5154719452,
Type of mental disorder,Anxiety disorders,615,1941.655616594,5.4682926829,3363,10617.541200985,11312.3273856484,6957081.34217381,219.6464400509,
,Bipolar disorders,201,634.5898844478,5.5970149254,1125,3551.8090547452,11100.0604566291,2231112.15178246,70.4398608254,
,Depressive disorders,626,1976.3844162405,5.5287539936,3461,10926.9432341983,12082.0317870793,7563351.89871169,238.7873934051,
,"Disruptive, impulse-control, and conduct disorders",*,*,*,*,*,*,*,*,
,Eating disorders,*,*,*,*,*,*,*,*,
,Obsessive-compulsive disorders,*,*,*,*,*,*,*,*,
,Personality disorders,45,142.0723621898,5.9555555556,268,846.1198459304,7782.2464145558,350201.08865501,11.0564213126,
,Schizophrenia and related disorders,116,366.2309780893,7.5172413793,872,2753.0466628781,11284.1908025118,1308966.13309137,41.3262023455,
,Somatic symptom disorders,*,*,*,*,*,*,*,*,
,Suicidal ideation or attempt,122,385.1739597146,6.2213114754,759,2396.2871756014,8375.0663578644,1021758.09565945,32.2585747193,
,Trauma- and stressor-related disorders,79,249.4159247332,6.3797468354,504,1591.2104565259,15259.024619049,1205462.94490487,38.0584373589,
,Miscellaneous mental disorders,39,123.1293805645,4.5897435897,179,565.132285155,7348.7520388968,286601.329516974,9.0484728647,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Frederick, Maryland",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,196806.824406816,3257.7827254582,5.5539570686,1093056.65356615,18093.5853960743,13301.2513589691,2617777040.59556,433.3258690423,
"Frederick, Maryland",,7983,3055.2727662408,5.3137918076,42420,16235.0833952067,12086.7358980903,96488412.6744555,369.2827502218,
Age group,<1,61,1992.8128062725,17.131147541,1045,34139.170205815,22995.5035591472,1402725.71710798,458.2573397935,
,1-17,105,181.2782707779,9.6571428571,1014,1750.6301577984,27579.2642965445,2895822.75113717,49.9952134101,
,18-44,2307,2612.1219669607,4.6280884265,10677,12089.1314439701,8772.8245240942,20238906.1770852,229.1568765168,
,45-64,2750,3589.2349056357,5.4029090909,14858,19392.3099010676,12914.2919628331,35514302.8977911,463.5242749457,
,65-84,2760,7804.1056381836,5.3717391304,14826,41921.6196346773,13201.6866417877,36436655.131334,1030.2735715471,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,3415,2650.9035583432,5.8067349927,19830,15393.0944544494,13425.5182354895,45848144.7741968,355.8975406306,
,Female,4566,3447.0263169815,4.9465615418,22586,17050.9278132596,11085.9278160739,50618346.4081936,382.1348493016,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,3370,†,5.5759643917,18791,†,12763.3981189164,43012651.6607484,†,
,Medicaid,906,†,5.6313465784,5102,†,12646.0603780749,11457330.7025358,†,
,Private insurance,3328,†,5.0138221154,16686,†,11389.824116744,37905334.6605241,†,
,Uninsured,107,†,5.4859813084,587,†,9597.5786327644,1026940.91370579,†,
,Other,270,†,4.6074074074,1244,†,11141.0768167383,3008090.74051934,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,357,124.4769874477,2.6218487395,936,326.359832636,6179.3227838443,2206018.2338324,†,
,Neonatal birth hospitalization,55,18.9328743546,16.4,902,310.4991394148,21846.0978385004,1201535.38111752,†,
,Nonmaternal/nonneonatal hospitalization,7571,411.400315166,5.3601901994,40582,2205.1839374015,12294.3942754597,93080859.0595056,†,
Type of substance use disorder,Alcohol-related disorders,1503,575.2317384016,4.9614105123,7457,2853.9607939193,10477.0449786944,15746998.6029777,60.2672879641,
,Cannabis-related disorders,528,202.0774170832,5.0265151515,2654,1015.7451987477,8203.41327776,4331402.21065728,16.5772456644,
,Neonatal abstinence syndrome,28,10.7162266635,21.9642857143,615,235.3742642162,21676.3193553944,606936.941951044,2.3228835144,
,Opioid-related disorders,987,377.7469898885,5.4468085106,5376,2057.5155193925,10638.4572988545,10500157.3539694,40.186452217,
,Sedative-related disorders,161,61.6183033151,5.6708074534,913,349.4255337064,8689.2230448825,1398964.91022608,5.3541518115,
,Stimulant-related disorders,356,136.2491675788,5.1292134831,1826,698.8510674127,7301.169044737,2599216.17992638,9.947782047,
,Miscellaneous substances and addictive disorders,252,96.4460399715,6.1547619048,1551,593.6024126819,10682.3362547234,2691948.7361903,10.3026902941,
Type of mental disorder,Anxiety disorders,4027,1541.2230276402,5.0086913335,20170,7719.5104215304,11512.5522551679,46361047.9315614,177.4341064258,
,Bipolar disorders,735,281.3009499169,5.0734693878,3729,1427.1717581501,8145.1852255594,5986711.14078615,22.912483412,
,Depressive disorders,4246,1625.039229044,5.186999529,22024,8429.0777156067,11417.9103672766,48480447.4194567,185.5455226053,
,"Disruptive, impulse-control, and conduct disorders",44,16.8397847569,8.5,374,143.1381704339,8971.908899458,394763.991576152,1.5108501473,
,Eating disorders,24,9.1853371401,7.875,189,72.3345299786,13575.4036488247,325809.687571794,1.2469465933,
,Obsessive-compulsive disorders,37,14.1607280911,5.0540540541,187,71.569085217,11658.7882530148,431375.165361548,1.6509693032,
,Personality disorders,117,44.7785185582,7.4615384615,873,334.1166384728,8920.5050681646,1043699.09297525,3.9944700174,
,Schizophrenia and related disorders,396,151.5580628124,8.1590909091,3231,1236.5760124921,10820.0039055399,4284721.54659382,16.3985883155,
,Somatic symptom disorders,36,13.7780057102,11.9444444444,430,164.5706237609,25903.589900051,932529.236401839,3.5689980956,
,Suicidal ideation or attempt,752,287.8072303912,5.5199468085,4151,1588.6806028643,6316.4882160417,4749999.13846336,18.1793097926,
,Trauma- and stressor-related disorders,485,185.6203547071,6.7340206186,3266,1249.9712958214,12147.1632069213,5891374.15535684,22.5476074315,
,Miscellaneous mental disorders,419,160.3606775717,3.1002386635,1299,497.1563727104,5969.4538341856,2501201.15652375,9.5726566158,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Garrett, Maryland",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,196806.824406816,3257.7827254582,5.5539570686,1093056.65356615,18093.5853960743,13301.2513589691,2617777040.59556,433.3258690423,
"Garrett, Maryland",,930,3403.1030444965,4.6064516129,4284,15676.2295081967,11468.5376994965,10665740.0605317,390.2861556108,
Age group,<1,30,11718.75,8.3666666667,251,98046.875,8123.223236008,243696.697080241,951.9402229697,
,1-17,18,358.7801474985,4,72,1435.120589994,8089.8077326665,145616.539187996,29.0246241156,
,18-44,201,2420.2287778447,4.2985074627,864,10403.3714629741,10440.7607113203,2098592.90297538,252.6902953613,
,45-64,326,4066.3589871523,4.6042944785,1501,18722.7142322564,12437.8679876572,4054744.96397626,505.7683627262,
,65-84,355,6192.2204779348,4.4957746479,1596,27838.8278388278,11614.3350910193,4123088.95731185,719.1852358821,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,379,2797.8739111177,4.9287598945,1868,13790.0487228702,12611.4938347272,4779756.16336161,352.853695804,
,Female,550,3990.7125235815,4.3890909091,2414,17515.6000580467,10693.2535632239,5881289.45977318,426.7370091259,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,493,†,4.6348884381,2285,†,12175.6150674727,6002578.22826407,†,
,Medicaid,266,†,4.8233082707,1283,†,10383.1434004591,2761916.14452212,†,
,Private insurance,145,†,4.2344827586,614,†,11581.6261267166,1679335.78837391,†,
,Uninsured,11,†,3.2727272727,36,†,7408.681231797,81495.4935497667,†,
,Other,15,†,4.4,66,†,9360.9603881244,140414.405821866,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,33,117.8571428571,2.1515151515,71,253.5714285714,6313.6391779395,208350.092872004,†,
,Neonatal birth hospitalization,22,78.853046595,7.3636363636,162,580.6451612903,6899.6434157662,151792.155146856,†,
,Nonmaternal/nonneonatal hospitalization,875,328.9473684211,4.6297142857,4051,1522.9323308271,11777.8260714433,10305597.8125128,†,
Type of substance use disorder,Alcohol-related disorders,128,468.3840749415,4.578125,586,2144.3208430913,9889.5838081059,1265866.72743755,46.3212356352,
,Cannabis-related disorders,61,223.2142857143,3.6393442623,222,812.3536299766,8278.6653685537,504998.587481779,18.4791637691,
,Neonatal abstinence syndrome,27,98.799765808,8.1851851852,221,808.6943793911,7320.3482469498,197649.402667644,7.2324869243,
,Opioid-related disorders,98,358.606557377,5.5612244898,545,1994.2915690867,11226.424328962,1100189.58423827,40.2586938026,
,Sedative-related disorders,17,62.2072599532,4.8235294118,82,300.0585480094,7833.0508559035,133161.864550359,4.8727263082,
,Stimulant-related disorders,*,*,*,*,*,*,*,*,
,Miscellaneous substances and addictive disorders,47,171.9847775176,3.1276595745,147,537.9098360656,7629.6129026792,358591.806425923,13.1217727761,
Type of mental disorder,Anxiety disorders,448,1639.3442622951,4.4308035714,1985,7263.612412178,11881.2602450506,5322804.58978269,194.7747581156,
,Bipolar disorders,71,259.8067915691,4.7042253521,334,1222.1896955504,10754.724466228,763585.437102193,27.9415045778,
,Depressive disorders,455,1664.9590163934,4.5516483516,2071,7578.3079625293,12051.9320137426,5483629.06625289,200.6597287124,
,"Disruptive, impulse-control, and conduct disorders",*,*,*,*,*,*,*,*,
,Eating disorders,*,*,*,*,*,*,*,*,
,Obsessive-compulsive disorders,*,*,*,*,*,*,*,*,
,Personality disorders,25,91.481264637,4.96,124,453.7470725995,7868.831136493,196720.778412325,7.1985062358,
,Schizophrenia and related disorders,42,153.6885245902,5.0714285714,213,779.4203747073,9504.9277492236,399206.965467389,14.6079832211,
,Somatic symptom disorders,*,*,*,*,*,*,*,*,
,Suicidal ideation or attempt,65,237.8512880562,4.6307692308,301,1101.4344262295,7281.1418382867,473274.219488636,17.3182896476,
,Trauma- and stressor-related disorders,34,124.4145199063,3.9705882353,135,493.9988290398,8114.0326854888,275877.11130662,10.0950348107,
,Miscellaneous mental disorders,17,62.2072599532,3.8823529412,66,241.5105386417,6449.6550396094,109644.135673359,4.0121536766,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Harford, Maryland",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,196806.824406816,3257.7827254582,5.5539570686,1093056.65356615,18093.5853960743,13301.2513589691,2617777040.59556,433.3258690423,
"Harford, Maryland",,8865,3608.6460962306,5.4157924422,48011,19543.678254498,13843.7255824516,122724627.288433,499.571062804,
Age group,<1,121,4393.6092955701,16.305785124,1973,71641.2490922294,23041.5442012539,2788026.84835172,1012.3554278692,
,1-17,162,309.054141707,7.6172839506,1234,2354.1531534969,17424.3532504695,2822745.22657606,53.8506853862,
,18-44,2470,3018.6373357776,4.6238866397,11421,13957.8368469294,10705.672988102,26443012.2806119,323.1654418651,
,45-64,3003,4193.8997821351,5.2917082917,15891,22192.8942517177,15341.2517809038,46069779.0980541,643.3967250161,
,65-84,3109,8389.3251301978,5.6262463815,17492,47200.410156777,14345.7908764361,44601063.8348398,1203.5150391225,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,3679,3058.6709455359,5.8083718402,21369,17765.8981884088,14634.809167662,53841462.9278286,447.6306559459,
,Female,5182,4133.0685361982,5.1364338093,26617,21229.2329656481,13281.94596716,68827044.0018235,548.9519297635,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,3981,†,5.7312233107,22816,†,14271.8416446109,56816201.5871962,†,
,Medicaid,2015,†,5.8540942928,11796,†,12455.8444051304,25098526.4763379,†,
,Private insurance,2478,†,4.5060532688,11166,†,13856.426524163,34336224.926876,†,
,Uninsured,99,†,4.1414141414,410,†,6810.0911904423,674199.027853784,†,
,Other,289,†,6.214532872,1796,†,19968.3477263247,5770852.49290784,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,412,159.5044521874,2.2621359223,932,360.8207510647,7275.3271791676,2997434.79781707,†,
,Neonatal birth hospitalization,94,36.084452975,15.6382978723,1470,564.2994241843,22591.795172361,2123628.74620193,†,
,Nonmaternal/nonneonatal hospitalization,8359,402.9404675826,5.456274674,45609,2198.553868402,14069.0948372311,117603563.744414,†,
Type of substance use disorder,Alcohol-related disorders,1295,527.1513473907,5.1019305019,6607,2689.4895383864,12676.3585297693,16415884.2960513,66.8235947898,
,Cannabis-related disorders,632,257.2661401938,4.9509493671,3129,1273.7116339656,9902.6457506105,6258472.11438586,25.4761544997,
,Neonatal abstinence syndrome,91,37.0430676545,16.4505494505,1497,609.3788162501,15672.4920119599,1426196.77308835,5.8055718191,
,Opioid-related disorders,1164,473.8256126353,5.0704467354,5902,2402.5075307335,12260.3019551441,14270991.4757878,58.0924508499,
,Sedative-related disorders,262,106.6514695107,5.4427480916,1426,580.4770821461,10030.3720883426,2627957.48714576,10.6975392296,
,Stimulant-related disorders,493,200.6838720182,5.1298174442,2529,1029.4716274526,11208.1904677644,5525637.90060786,22.4930306139,
,Miscellaneous substances and addictive disorders,257,104.6161361231,4.7315175097,1216,494.9930798665,9440.9995527704,2426336.88506198,9.8768089435,
Type of mental disorder,Anxiety disorders,4229,1721.4849792396,5.1123196973,21620,8800.7815680208,13693.0817154255,57908042.5745344,235.7243449261,
,Bipolar disorders,864,351.7056093788,5.5474537037,4793,1951.0705853619,11494.9377043484,9931626.17655706,40.4283407008,
,Depressive disorders,4674,1902.6296507368,5.1863500214,24241,9867.7033298054,13410.8388466989,62682260.769471,255.1585963098,
,"Disruptive, impulse-control, and conduct disorders",60,24.4240006513,10.4166666667,625,254.4166734511,19004.1939487731,1140251.63692638,4.6415844538,
,Eating disorders,34,13.8402670357,10.6470588235,362,147.3581372629,19058.4552703866,647987.479193147,2.6377411023,
,Obsessive-compulsive disorders,80,32.5653342017,6.5375,523,212.8958723439,13617.676047999,1089414.08383992,4.4346417155,
,Personality disorders,237,96.4748025727,5.3291139241,1263,514.12521371,8174.7979885294,1937427.12328146,7.8866202201,
,Schizophrenia and related disorders,431,175.4457380119,8.4965197216,3662,1490.6781730847,12702.226414406,5474659.584609,22.2855148767,
,Somatic symptom disorders,38,15.4685337458,6.5789473684,250,101.7666693804,14939.2789869481,567692.601504028,2.3108874115,
,Suicidal ideation or attempt,428,174.2245379793,6.5023364486,2783,1132.8665635431,9426.6689851612,4034614.32564901,16.4235704862,
,Trauma- and stressor-related disorders,534,217.3736057966,6.1610486891,3290,1339.2493690466,13857.6530730827,7399986.74102617,30.1228801637,
,Miscellaneous mental disorders,415,168.9326711715,3.2674698795,1356,551.9824147195,7860.2803816253,3262016.35837452,13.2785816103,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Howard, Maryland",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,196806.824406816,3257.7827254582,5.5539570686,1093056.65356615,18093.5853960743,13301.2513589691,2617777040.59556,433.3258690423,
"Howard, Maryland",,6877,2114.3605573525,5.5820852116,38388,11802.5407991342,13121.9456950895,90239620.5451305,277.4452441342,
Age group,<1,48,1278.2956058588,17.6875,849,22609.8535286285,32324.4232683951,1551572.31688296,413.2016822591,
,1-17,163,225.3934013662,8.2760736196,1349,1865.3723830858,14843.9478514085,2419563.4997796,33.4572789593,
,18-44,2192,1936.3957597173,4.7121350365,10329,9124.5583038869,10065.7830418123,22064196.4276526,194.913396004,
,45-64,2211,2343.4022257552,5.2650384441,11641,12338.102808691,13677.7804820932,30241572.6459081,320.5254122513,
,65-84,2261,5431.3099041533,6.2830605927,14206,34125.2492252996,15004.0928376767,33924253.905987,814.9187803211,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,2796,1736.3979058892,5.9617310443,16669,10351.9373008824,14250.8587749422,39845401.1347385,247.4516133393,
,Female,4076,2481.9002733987,5.3213935231,21690,13207.1680397493,12341.0130009171,50301968.9917383,306.2916354099,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,2677,†,6.212924916,16632,†,14433.5307234222,38638561.7466013,†,
,Medicaid,1612,†,5.4373449132,8765,†,11168.7306581249,18003993.8208974,†,
,Private insurance,2342,†,5.0828351836,11904,†,13311.0104313434,31174386.4302064,†,
,Uninsured,75,†,4.2933333333,322,†,7004.5727554507,525342.956658804,†,
,Other,168,†,4.5119047619,758,†,11096.383834624,1864192.48421683,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,396,113.9568345324,2.5126262626,995,286.3309352518,6727.1421269193,2663948.28226006,†,
,Neonatal birth hospitalization,35,9.9403578529,12.3142857143,431,122.4084067026,15337.5348241008,536813.718843528,†,
,Nonmaternal/nonneonatal hospitalization,6446,329.9887375857,5.7340986658,36962,1892.1879799324,13502.7704846458,87038858.5440269,†,
Type of substance use disorder,Alcohol-related disorders,1103,339.1216656623,5.0380779692,5557,1708.5213926432,11444.0137799465,12622747.199281,38.8091301492,
,Cannabis-related disorders,468,143.8884311242,4.6111111111,2158,663.485543517,8522.7499160675,3988646.96071956,12.2632511429,
