"Statistics for community hospital stays 2016 New Jersey, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: New Jersey | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, New Jersey",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
,Somatic symptom disorders,41,14.689075269,5.3658536585,220,78.8194282725,12074.0583410452,495036.391982855,1.7735675177,
,Suicidal ideation or attempt,657,235.3834744321,6.2267884323,4091,1465.6830957405,7718.0825396723,5070780.22856471,18.1670908414,
,Trauma- and stressor-related disorders,619,221.7692095486,7.4345718901,4602,1648.7591314099,13869.1676965993,8585014.80419498,30.7575435717,
,Miscellaneous mental disorders,349,125.0362748505,4.0687679083,1420,508.7435824863,7188.5181482654,2508792.83374463,8.9882553095,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Hudson, New Jersey",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,257654.34656161,2867.5559471329,5.9671475319,1537461.4981706,17111.1293925436,13270.1220812972,3419104633.64943,380.528174934,
"Hudson, New Jersey",,15923,2345.4013312653,6.0980078722,97098.5793495178,14302.2757815944,13528.0291193548,215406807.667486,317.2865750593,
Age group,<1,26,289.1780669558,14.7307692308,383,4259.8153709265,20791.543079518,540580.120067469,60.1245823676,
,1-17,414,311.8949501646,6.2463768116,2586,1948.2133843615,11608.1834010587,4805787.92803831,36.2053378337,
,18-44,4814,1613.0437404923,5.4590639852,26279.9340248107,8805.7089902932,11030.9371114882,53102931.2547043,177.9338405945,
,45-64,6027,3738.4626836046,6.1178589525,36872.3359069824,22871.3873976419,14156.1067097483,85318855.1396531,529.2207667952,
,65-84,4642,5988.36384277,6.6732678625,30977.3094177246,39961.9559809133,15432.7128877689,71638653.2250236,924.1669985297,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,7919,2342.8855450559,6.2842808668,49765.2201843261,14723.3508039379,13785.0734380902,109163996.556237,322.9684929564,
,Female,7991,2344.0822995532,5.9146989319,47264.3591651916,13864.5410735643,13274.1780541584,106073956.830779,311.1576581787,
,Missing,13,†,5.3076923077,69,†,12988.7908053761,168854.280469889,†,
Payer,Medicare,6062,†,6.5038304494,39426.2201843261,†,14598.7576504843,88497668.8772363,†,
,Medicaid,4346,†,6.0683387023,26373,†,11526.1797617571,50092777.2445967,†,
,Private insurance,3983,†,5.7243342351,22800.0232582092,†,14726.1968967228,58654442.2396472,†,
,Uninsured,1273,†,5.4595443833,6950,†,10850.8233399022,13813098.1116955,†,
,Other,258,†,5.9780461511,1542.3359069824,†,16774.9483724849,4327936.68010111,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,258,25.8309971966,3.2945736434,850,85.1021225471,6608.1962058375,1704914.62110607,†,
,Neonatal birth hospitalization,21,2.0497803807,12.9523809524,272,26.5495363592,16795.2640816795,352700.54571527,†,
,Nonmaternal/nonneonatal hospitalization,15644,297.7710946571,6.1350408687,95976.5793495178,1826.8378352307,13637.7647980481,213349192.500665,†,
Type of substance use disorder,Alcohol-related disorders,3726,548.8265628521,5.7313472893,21355,3145.5156333084,12892.7187903014,48038270.2126631,70.758665395,
,Cannabis-related disorders,1109,163.3517601189,5.3769161407,5963,878.3287155897,10398.3906686587,11531815.2515425,16.9859541813,
,Neonatal abstinence syndrome,11,1.6202609209,23.4545454545,258,38.0024834181,31692.2157738488,348614.373512337,0.5134965872,
,Opioid-related disorders,2068,304.6090531342,5.5565764023,11491,1692.5834765791,12106.3369359427,25035904.7835296,36.8769983098,
,Sedative-related disorders,226,33.2889971027,5.2079646018,1177,173.3679185392,9175.4400299805,2073649.44677558,3.0544119657,
,Stimulant-related disorders,1024,150.8315620936,5.23046875,5356,788.919772044,10298.9843043719,10546159.9276768,15.5341189061,
,Miscellaneous substances and addictive disorders,671,98.8359161765,5.1847988077,3479,512.444340355,9877.1478601094,6627566.21413338,9.7621695797,
Type of mental disorder,Anxiety disorders,6070,894.0894354569,5.897104636,35795.4251403808,5272.538954811,13609.4078471487,82609105.6321926,121.6802777896,
,Bipolar disorders,1783,262.6295656375,6.0807627594,10842,1596.9880822444,10871.464491131,19383821.1876867,28.5516799715,
,Depressive disorders,5722,842.8302717767,5.9290571436,33926.0649757385,4997.1888437286,13090.6562793602,74904735.2304993,110.3320138967,
,"Disruptive, impulse-control, and conduct disorders",145,21.3579848668,6.4965517241,942,138.7532534103,11920.2112295953,1728430.62829132,2.5459169105,
,Eating disorders,48,7.0702294731,11.9375,573,84.4008643356,17738.7352281761,851459.290952455,1.2541692863,
,Obsessive-compulsive disorders,60,8.8377868414,7.4,444,65.3996226265,12830.553491353,769833.209481183,1.1339369681,
,Personality disorders,339,49.933495654,6.1386430678,2081,306.5239069499,10177.1992400605,3450070.54238053,5.0818313402,
,Schizophrenia and related disorders,2229,328.3237811587,8.2965455361,18493,2723.9532009727,13261.7723698435,29560490.6123813,43.5415524933,
,Somatic symptom disorders,89,13.1093838148,5.2359550562,466,68.6401444684,11410.090039305,1015498.01349814,1.4957924969,
,Suicidal ideation or attempt,1071,157.7544951193,6.172735761,6611,973.776813477,10262.0535746448,10990659.3784446,16.1888508056,
,Trauma- and stressor-related disorders,945,139.1951427524,8.2860417119,7830.3094177246,1153.3767589368,18691.4612795947,17663430.909217,26.0176062106,
,Miscellaneous mental disorders,314,46.2510844701,4.3057324841,1352,199.1447968266,8449.8126504858,2653241.17225253,3.9081299865,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Mercer, New Jersey",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,257654.34656161,2867.5559471329,5.9671475319,1537461.4981706,17111.1293925436,13270.1220812972,3419104633.64943,380.528174934,
"Mercer, New Jersey",,11690,3033.4798607039,6.324893071,73938,19186.4357519864,15141.2805046886,177001569.09981,459.3076947624,
Age group,<1,51,1154.8913043478,24.5490196078,1252,28351.4492753623,48505.6888426294,2473790.1309741,560.1879825575,
,1-17,117,148.19130611,7.3076923077,855,1082.9364677272,17900.511570982,2094359.8538049,26.5270018974,
,18-44,3509,2503.3530234283,5.6982046167,19995,14264.6177553291,11449.6350648317,40176769.4424946,286.624785567,
,45-64,4657,4398.375519456,6.4807816191,30181,28504.9112202493,16111.5479435934,75031478.7733145,708.6463805564,
,65-84,3356,5998.6415472062,6.4526221692,21655,38706.9674328817,17051.6003871341,57225170.899222,1022.8643852862,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,5731,3034.2658675533,6.6665503403,38206,20228.0861517609,15852.3103048634,90849590.3571725,481.0012407991,
,Female,5955,3030.6885846608,5.9956339211,35704,18170.8992824062,14457.6958841198,86095578.9899337,438.167738765,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,4675,†,6.6562566845,31118,†,16553.3173353743,77386758.542875,†,
,Medicaid,3020,†,6.7086092715,20260,†,13036.6459602814,39370670.80005,†,
,Private insurance,3140,†,5.5640127389,17471,†,15402.435379917,48363647.0929396,†,
,Uninsured,752,†,6.0385638298,4541,†,13645.9678151068,10261767.7969603,†,
,Other,103,†,5.3203883495,548,†,15715.7754076247,1618724.86698534,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,209,50.1199040767,3.4449760766,720,172.6618705036,6222.0341820344,1300405.14404518,†,
,Neonatal birth hospitalization,47,11.0692416392,21.7872340426,1024,241.1681582666,24998.4834024043,1174928.719913,†,
,Nonmaternal/nonneonatal hospitalization,11434,325.5787465475,6.3139758615,72194,2055.6963467069,15263.7952803788,174526235.235852,†,
Type of substance use disorder,Alcohol-related disorders,2726,707.3794782103,6.4229640499,17509,4543.4729581748,15158.0494567117,41320842.8189961,107.2249311538,
,Cannabis-related disorders,970,251.7087651739,5.7948453608,5621,1458.6133701468,10154.793877771,9850150.06143795,25.5605062757,
,Neonatal abstinence syndrome,29,7.525313598,31.3448275862,909,235.8796572609,34588.6954670389,1003072.16854412,2.6029078033,
,Opioid-related disorders,1749,453.85425803,6.8793596341,12032,3122.2266624456,14838.2585951293,25952114.2828811,67.3440684515,
,Sedative-related disorders,330,85.6328788736,7.4515151515,2459,638.0946943944,11060.0246447037,3649808.13275223,9.4710175074,
,Stimulant-related disorders,1180,306.2024153662,6.2050847458,7322,1900.0119367043,11008.6122221926,12990162.4221873,33.7086365226,
,Miscellaneous substances and addictive disorders,371,96.2721153397,5.6630727763,2101,545.1959954952,12866.4874855823,4773466.85715104,12.3868396723,
Type of mental disorder,Anxiety disorders,3929,1019.5502457404,5.6645456859,22256,5775.2889460928,14764.0942618034,58008126.3546256,150.5273593276,
,Bipolar disorders,1486,385.6074485035,6.7375504711,10012,2598.0496463103,12128.4250238914,18022839.5855026,46.7681102783,
,Depressive disorders,4377,1135.8033661506,5.9942883253,26237,6808.3328575951,14140.2200614695,61891743.209052,160.6050954393,
,"Disruptive, impulse-control, and conduct disorders",72,18.6835372088,6.0277777778,434,112.6202103974,11811.5777565265,850433.598469914,2.2068205251,
,Eating disorders,55,14.2721464789,10.6181818182,584,151.544246249,16288.6693145516,895876.812300339,2.324742744,
,Obsessive-compulsive disorders,56,14.5316400513,7.8214285714,438,113.6581846868,12195.4647804135,682946.027703156,1.7722010445,
,Personality disorders,358,92.8986988992,5.9608938547,2134,553.7592833826,9341.7559014246,3344348.61270999,8.6783696868,
,Schizophrenia and related disorders,1319,342.272021922,8.3351023503,10994,2852.8723343523,13333.4907718424,17586874.3280601,45.6368084576,
,Somatic symptom disorders,69,17.9050564918,6.5797101449,454,117.8100818443,15356.1810768574,1059576.49430316,2.7495328968,
,Suicidal ideation or attempt,808,209.6708064541,6.1856435644,4998,1296.9488745764,9390.9954945477,7587924.35959451,19.6901759875,
,Trauma- and stressor-related disorders,830,215.3796650457,7.3698795181,6117,1587.3221820296,14031.8871824227,11646466.3614109,30.2218316131,
,Miscellaneous mental disorders,335,86.9303467353,5.3044776119,1777,461.1200780557,9208.2393670849,3084760.18797342,8.00475441,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Monmouth, New Jersey",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,257654.34656161,2867.5559471329,5.9671475319,1537461.4981706,17111.1293925436,13270.1220812972,3419104633.64943,380.528174934,
"Monmouth, New Jersey",,20818,3251.8725056039,6.1003938899,126998,19837.7031639291,13342.7530321543,277769432.623388,433.8893173432,
Age group,<1,51,771.5582450832,15.0980392157,770,11649.0166414523,25927.5338386759,1322304.22577247,200.046025079,
,1-17,536,408.399622078,6.427238806,3445,2624.881899363,11099.5512274627,5949359.45792001,45.3305252653,
,18-44,5315,2655.694127993,5.5347130762,29417,14698.5050165887,9969.4843389191,52987809.2613551,264.7590101799,
,45-64,7413,3751.2144765606,6.0446512883,44809,22674.7834183466,13765.551966065,102044036.72444,516.3753781295,
,65-84,7502,7173.5243213265,6.4721407625,48554,46428.0591705791,15390.1834584647,115457156.305402,1104.0185534897,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,9669,3103.3254271125,6.2144999483,60088,19285.6157063122,13698.7385556144,132453103.094236,425.11643679,
,Female,11135,3388.4533924094,6.0040413112,66855,20344.4141490371,13033.455677637,145127528.970488,441.6325710571,
,Missing,14,†,3.9285714286,55,†,13485.7541902295,188800.558663214,†,
Payer,Medicare,10062,†,6.5233551978,65638,†,14697.0543518542,147881760.888357,†,
,Medicaid,4491,†,6.1013137386,27401,†,10829.9251714891,48637193.9451578,†,
,Private insurance,5231,†,5.4630089849,28577,†,13393.3727749688,70060732.985862,†,
,Uninsured,849,†,4.9269729093,4183,†,9682.1734896148,8220165.29268293,†,
,Other,182,†,6.510989011,1185,†,16085.7613946566,2927608.5738275,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,402,69.3821194339,3.7935323383,1525,263.2033137729,6390.6433538078,2569038.62823074,†,
,Neonatal birth hospitalization,42,7.0742799394,15.8571428571,666,112.1778676099,25721.6366665826,1080308.73999647,†,
,Nonmaternal/nonneonatal hospitalization,20374,343.1179373179,6.1257975852,124807,2101.8710318463,13454.4068545774,274120085.255161,†,
Type of substance use disorder,Alcohol-related disorders,4071,635.9099322852,5.9845246868,24363,3805.6186883479,12534.5299321304,51028071.3537029,79.7083208037,
,Cannabis-related disorders,1346,210.251724111,5.6820208024,7648,1194.6546701344,8911.1546331434,11994414.136211,18.7358562544,
,Neonatal abstinence syndrome,36,5.6233744933,16.3055555556,587,91.6922452104,22656.7682484088,815643.656942718,1.2740749267,
,Opioid-related disorders,2383,372.2361504877,5.8644565674,13975,2182.9627373337,11797.4698051121,28113370.5455823,43.9144474575,
,Sedative-related disorders,454,70.9170005545,5.6057268722,2545,397.5413357076,8795.3973868649,3993110.41363668,6.2374320136,
,Stimulant-related disorders,1005,156.9858712716,5.8328358209,5862,915.6728133274,9400.7264023208,9447730.03433245,14.7578122485,
,Miscellaneous substances and addictive disorders,1052,164.3274990823,5.6169201521,5909,923.0144411381,9557.7075793763,10054708.3735038,15.7059418348,
Type of mental disorder,Anxiety disorders,8377,1308.528003624,5.8154470574,48716,7609.6753282254,13734.6179279288,115054894.382259,179.7213217777,
,Bipolar disorders,2851,445.3400189008,6.3272535952,18039,2817.7792356897,10488.7095196299,29903310.840465,46.7104209572,
,Depressive disorders,9135,1426.9312776775,5.9463601533,54320,8485.0472910174,12713.1418947356,116134551.20841,181.4077980715,
,"Disruptive, impulse-control, and conduct disorders",282,44.0497668643,7.2765957447,2052,320.5323461187,10482.7010938565,2956121.70846753,4.6176053929,
,Eating disorders,98,15.3080750096,12.4591836735,1221,190.7261182314,15527.088241614,1521654.64767817,2.3768983148,
,Obsessive-compulsive disorders,168,26.2424143021,7.9226190476,1331,207.9086514055,13218.5114985973,2220709.93176436,3.468856552,
,Personality disorders,795,124.1828533939,6.8691823899,5461,853.0346696658,10901.4769925772,8666674.20909889,13.5377651915,
,Schizophrenia and related disorders,1907,297.8826432984,7.7876245412,14851,2319.7981833376,11841.6850397857,22582093.3708715,35.2743244076,
,Somatic symptom disorders,81,12.6525926099,7.5555555556,612,95.5973663863,23068.9935300464,1868588.47593376,2.9188257706,
,Suicidal ideation or attempt,1710,267.1102884323,6.1064327485,10442,1631.0910127541,8619.371864211,14739125.8878007,23.0232290475,
,Trauma- and stressor-related disorders,1614,252.1146231168,7.4089219331,11958,1867.8975608613,14770.9924825761,23840381.8668778,37.2398320281,
,Miscellaneous mental disorders,524,81.8513398471,4.8244274809,2528,394.885853308,7964.0389544399,4173156.41212652,6.5186725902,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Morris, New Jersey",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,257654.34656161,2867.5559471329,5.9671475319,1537461.4981706,17111.1293925436,13270.1220812972,3419104633.64943,380.528174934,
"Morris, New Jersey",,13572,2768.4004185645,5.5659445918,75541,15408.7633376644,11748.5754027319,159451665.365877,325.2476106246,
Age group,<1,25,500.7009813739,14.76,369,7390.3464850791,21296.9656016118,532424.140040296,106.6341157701,
,1-17,422,419.8336583231,7.028436019,2966,2950.7740061284,12093.2681029258,5103359.13943469,50.7716098873,
,18-44,3568,2293.9879257026,4.9047085202,17500,11251.3421243819,8532.4548344879,30443798.8494528,195.7334836692,
,45-64,4487,2985.2037150384,5.5727657678,25005,16635.8410729967,12393.509512372,55609677.1820135,369.971506387,
,65-84,5068,6423.8905859835,5.8593133386,29695,37639.5877961289,13365.3088567098,67735385.2858053,858.5728174338,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,6048,2516.4978737923,5.7602513228,34838,14495.660206213,11989.9124216332,72514990.3260381,301.72589116,
,Female,7503,3002.2447811839,5.412368386,40609,16249.2547406497,11557.2087875323,86713737.5328551,346.9756976742,
,Missing,21,†,4.4761904762,94,†,10616.0717611647,222937.506984459,†,
Payer,Medicare,5881,†,6.1242985887,36017,†,13164.4669998346,77420230.4260274,†,
,Medicaid,1917,†,6.18362024,11854,†,8796.3116406526,16862529.415131,†,
,Private insurance,5067,†,4.8385632524,24517,†,11602.8943318412,58791865.5794395,†,
,Uninsured,500,†,3.976,1988,†,6469.969051272,3234984.52563602,†,
,Other,206,†,5.6504854369,1164,†,15241.5487130285,3139759.03488388,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,282,62.9745422063,3.4645390071,977,218.1777579276,5512.7024748971,1554582.09792098,†,
,Neonatal birth hospitalization,19,4.132231405,14.9473684211,284,61.765985211,17432.5938658975,331219.283452052,†,
,Nonmaternal/nonneonatal hospitalization,13271,336.7333993048,5.5971667546,74280,1884.7529877445,11872.9458205489,157565863.984504,†,
Type of substance use disorder,Alcohol-related disorders,2500,509.9470267029,5.1316,12829,2616.8441622284,10048.5677123741,25121419.2809353,51.2423722755,
,Cannabis-related disorders,587,119.7355618698,5.2947189097,3108,633.966143597,7853.7681599824,4610161.90990967,9.4037534343,
,Neonatal abstinence syndrome,15,3.0596821602,19.0666666667,286,58.3379398548,22212.102136383,333181.532045745,0.6796197265,
,Opioid-related disorders,1460,297.8090635945,5.2232876712,7626,1555.5424102544,9897.9303610313,14450978.3271056,29.4769337234,
,Sedative-related disorders,215,43.8554442964,6.0186046512,1294,263.9485810214,8155.2294973476,1753374.34192973,3.5765121295,
,Stimulant-related disorders,412,84.0392700006,4.1723300971,1719,350.6395755609,6293.1441198602,2592775.37738239,5.2887123784,
,Miscellaneous substances and addictive disorders,481,98.1138079376,5.656964657,2721,555.0263438634,7857.426673091,3779422.22975675,7.7092205149,
Type of mental disorder,Anxiety disorders,6395,1304.4444943059,5.1868647381,33170,6765.9771502936,11471.5635588888,73360648.9590941,149.6401792547,
,Bipolar disorders,1797,366.549922794,6.1875347802,11119,2268.0403959637,8668.0087414998,15576411.7084751,31.7725793497,
,Depressive disorders,6337,1292.6137232864,5.5469465047,35151,7170.059174253,11235.1241982171,71196982.0441018,145.2267572144,
,"Disruptive, impulse-control, and conduct disorders",185,37.736079976,6.8,1258,256.6053438369,7383.3318707797,1365916.39609424,2.7861800197,
,Eating disorders,120,24.4774572817,11.3166666667,1358,277.003224905,14076.9729560501,1689236.75472601,3.4456850419,
,Obsessive-compulsive disorders,156,31.8206944663,6.9294871795,1081,220.5010943463,9006.6653157447,1405039.78925616,2.8659834517,
,Personality disorders,455,92.8103588599,6.0967032967,2774,565.8372208295,6154.3919897804,2800248.3553501,5.7119132914,
,Schizophrenia and related disorders,1280,261.0928776719,8.68515625,11117,2267.6324383423,11499.6117517795,14719503.0422778,30.0246672438,
,Somatic symptom disorders,91,18.562071772,4.7692307692,434,88.5268038356,9938.0708766821,904364.449778069,1.8447118489,
,Suicidal ideation or attempt,887,180.9292050742,6.091319053,5403,1102.0975141102,6744.0570359966,5981978.59092898,12.201968785,
,Trauma- and stressor-related disorders,617,125.8549261903,5.7957860616,3576,729.4282269958,12255.5665763609,7561684.57761471,15.4242342689,
,Miscellaneous mental disorders,352,71.8005413598,4.1107954545,1447,295.1573390556,6243.7121347871,2197786.67144504,4.4830191137,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Ocean, New Jersey",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,257654.34656161,2867.5559471329,5.9671475319,1537461.4981706,17111.1293925436,13270.1220812972,3419104633.64943,380.528174934,
